Stat,Description,Class
Armor,Physical damage reduction,all
Attack Speed,"Attacking faster than your base weapon speed, represented by attacks per second",all
Cold Resistance,Cold damage reduction,all
Critical Strike Chance,Chance for a Critical Strike (50% more damage),all
Critical Strike Damage,Damage dealt during a Critical Strike,all
Damage,All damage dealt,all
Damage Reduction from DOT,Reduces damage taken from Damage-Over-Time effects (ie. Poison),all
Damage vs Crowd Controlled,Damage dealt to enemies affected by Crowd Control status effects (ie. Slow),all
Damage vs Elites,"Damage dealt to Champions, Elites, Bosses, and players",all
Damage with Basic,Damage for skills that have the “Basic” tag,all
Damage with Core,Damage for skills that have the “Core” tag,all
Damage with Skills,Damage dealt by all skills,all
Dodge Chance,Chance to dodge an attack and take no damage,all
Fire Resistance,Fire damage reduction,all
Damage to Slowed Enemies, dano, all
Healing from Potions,How much HP you recover from using a Life Potion,all
Life,Total HP,all
Maximum Life,Total HP,all
Life on Kill,HP recovered after defeating an opponent,all
Life Regeneration,Percentage of life regenerated per second out of combat,all
Lightning Resistance,Lightning damage reduction,all
Movement Speed,How fast you move (it’s always at 100% by default),all
Overpower Chance,Chance for a skill’s damage to be replaced by Overpower’s damage (sum of your current Life and Fortified Life),all
Poison Resistance,Poison damage reduction (also applies to Poison damage over time),all
Potion Charges,How many Potions you can use (default value is four),all
Resist All,Non-physical damage reduction,all
Shadow Resistance,Shadow damage reduction,all
Vulnerable Damage,How much extra damage you deal to vulnerable enemies,all
Weapon Damage,The damage of your equipped weapon,all
Weapon Speed,The speed at which your equipped weapon attacks,all
Berserking Duration,The amount of time you can stay Berserk (from all sources),Barbarians
Control Impaired Duration Reduction,Reduces duration of control impairing effects (ie. Slow),Barbarians
Critical Strike Damage with One-Handed,Increased damage by Critical Strikes done with a One-Handed weapon,Barbarians
Damage Reduction from Bleeding,Reduces damage from Bleeding effects,Barbarians
Damage Reduction from Close,Reduces damage from enemies in melee range,Barbarians
Damage Reduction from Vulnerable,Reduces damage from enemies with the Vulnerable status,Barbarians
Damage Reduction while Fortified,Reduces damage taken when your Fortify status is greater than your current life,Barbarians
Damage Reduction while Healthy,Reduces damage taken when your life is above 80%,Barbarians
Damage vs Bleeding,Damage dealt to enemies with the Bleeding status,Barbarians
Damage while Berserking,Damage dealt while Berserked,Barbarians
Damage while Fortified,Damage dealt when your Fortify status is greater than your current life,Barbarians
Damage while Healthy,Damage dealt when your life is above 80%,Barbarians
Damage with Axe,Damage dealt with One-Handed or Two-Handed axes,Barbarians
Damage with Bleeding,Bleeding damage (DOT effects),Barbarians
Damage with Bludgeoning,Damage with a Two-Handed bludgeoning weapon,Barbarians
Damage with Mace,Damage dealt with One-Handed or Two-Handed maces,Barbarians
Damage with One-Handed,Damage dealt with One-Handed weapons,Barbarians
Damage with Physical,Damage dealt with Physical attacks (including Bleeding damage),Barbarians
Damage with Polearm,Damage dealt with Two-Handed polearms,Barbarians
Damage with Slashing,Damage dealt with Two-Handed slashing weapons,Barbarians
Damage with Swapped Weapons,Damage dealt with weapons that switch during combat,Barbarians
Damage with Sword,Damage dealt with One-Handed or Two-Handed swords,Barbarians
Elite Kill Movement Speed,"Movement speed gained after defeating Elite enemies, Champions, Bosses, or other players",Barbarians
Fortify,Fortify gained from Fortify effects,Barbarians
Fury Generation,How much Fury you gain,Barbarians
Fury on Kill,The Fury gained when you kill an enemy,Barbarians
Maximum Fury,The maximum amount of Fury you can hold,Barbarians
Overpower Damage,Extra damage dealt with the Overpower status,Barbarians
Thorns,Damage dealt when melee attackers attack you,Barbarians
Control Impaired Duration Reduction,Reduces duration of control impairing effects (ie. Slow),Druids
Critical Strike Damage with Earth,Damage by Critical Strikes done with Earth skills,Druids
Damage Reduction from Poisoned,Reduces damage from enemies with the Poisoned status,Druids
Damage Reduction from Vulnerable,Reduces damage from enemies with the Vulnerable status,Druids
Damage Reduction while Fortified,Reduces damage taken when your Fortify status is greater than your current life,Druids
Damage Vs Poisoned,Damage dealt to Poisoned enemies,Druids
Damage while Human,Damage dealt while in Human form,Druids
Damage while Werebear,Damage dealt while in Werebear form,Druids
Damage while Werewolf,Damage dealt while in Werewolf form,Druids
Damage with Companion,Damage for skills that have the “Companion” tag,Druids
Damage with Earth,Damage for skills that have the “Earth” tag,Druids
Damage with Nature Magic,Damage for skills that have the “Nature Magic” tag,Druids
Damage with Physical,Damage dealt with Physical attacks (including Bleeding damage),Druids
Damage with Poison,Damage dealt by Poison attacks (including Damage-Over-Time),Druids
